"Date","Type","Category","Amount","Description","Tags"
"2026-04-25","EXPENSE","Professional Services","250.00","Accountant consultation","accounting, professional"
"2026-04-20","EXPENSE","Meals","227.00","Client lunch meeting","client-meeting, business"
"2026-04-15","INCOME","Consulting","2772.00","Business consulting session","consulting, hourly"
"2026-04-12","EXPENSE","Office Supplies","111.00","Office supplies and stationery","office"
"2026-04-07","EXPENSE","Marketing","635.00","Google Ads campaign","advertising, digital"
"2026-04-05","INCOME","Freelance","3340.00","Website development project","client-work, web-dev"
"2026-04-03","EXPENSE","Software","149.99","Adobe Creative Suite subscription","subscription, tools"
"2026-04-01","INCOME","Salary","8500.00","Monthly salary","recurring, primary-income"
"2026-03-25","EXPENSE","Professional Services","250.00","Accountant consultation","accounting, professional"
"2026-03-20","EXPENSE","Meals","96.00","Client lunch meeting","client-meeting, business"
"2026-03-15","INCOME","Consulting","2204.00","Business consulting session","consulting, hourly"
"2026-03-12","EXPENSE","Office Supplies","128.00","Office supplies and stationery","office"
"2026-03-07","EXPENSE","Marketing","630.00","Google Ads campaign","advertising, digital"
"2026-03-05","INCOME","Freelance","4351.00","Website development project","client-work, web-dev"
"2026-03-03","EXPENSE","Software","149.99","Adobe Creative Suite subscription","subscription, tools"
"2026-03-01","INCOME","Salary","8500.00","Monthly salary","recurring, primary-income"
"2026-02-25","EXPENSE","Professional Services","250.00","Accountant consultation","accounting, professional"
"2026-02-20","EXPENSE","Meals","87.00","Client lunch meeting","client-meeting, business"
"2026-02-15","INCOME","Consulting","1669.00","Business consulting session","consulting, hourly"
"2026-02-12","EXPENSE","Office Supplies","101.00","Office supplies and stationery","office"
"2026-02-07","EXPENSE","Marketing","655.00","Google Ads campaign","advertising, digital"
"2026-02-05","INCOME","Freelance","3755.00","Website development project","client-work, web-dev"
"2026-02-03","EXPENSE","Software","149.99","Adobe Creative Suite subscription","subscription, tools"
"2026-02-01","INCOME","Salary","8500.00","Monthly salary","recurring, primary-income"